Grade Distribution By Course,,,
,,,
,,,
Academic Learning Services,,,
Academic Learning Services,,,
,,,
Grade: B+,  Credits: 4,  Student Count: 3,  Pct: 12
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 4
Grade: C+,  Credits: 4,  Student Count: 6,  Pct: 24
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 4
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 4
Grade: I/F,  Credits: 4,  Student Count: 3,  Pct: 12
,,,
Course: ANS 314  Student Total: 51  Credit Hours: 4  Grade Pts: 539.2  GPA Hours: 184  GPA: 2.93,,,
Grade: A,  Credits: 4,  Student Count: 17,  Pct: 33.33
Grade: A-,  Credits: 4,  Student Count: 5,  Pct: 9.8
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 5.88
Grade: B+,  Credits: 4,  Student Count: 2,  Pct: 3.92
Grade: B-,  Credits: 4,  Student Count: 5,  Pct: 9.8
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 3.92
Grade: C+,  Credits: 4,  Student Count: 5,  Pct: 9.8
